,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,101,2,7,0,0,0
Ethylene,1,28,0,0,0,0
Ammonia,0,33,535,0,38,0
Acetaldehyde,28,17,0,478,51,0
Acetone,0,124,6,0,384,0
Toluene,0,409,0,0,58,0
