,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,31,0,8,0,0,1
Ethylene,0,33,0,0,0,0
Ammonia,0,1,141,0,1,0
Acetaldehyde,4,0,0,26,0,0
Acetone,0,0,0,0,30,0
Toluene,0,15,0,0,0,3
