experiment,model,train_batches,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,concentration_mae,concentration_r2
rolling,rf_sensor,"1,2,3",4,3275,161,0.8198757763975155,0.6722623954145693,0.8333333333333334,0.26666666666666666,1.0,1.0,0.921875,0.0,32.073850931677015,0.6770509844592452
rolling,rf_sensor,"1,2,3,4",5,3436,197,0.9441624365482234,0.7796482362849364,0.8,0.9130434782608695,0.9523809523809523,1.0,1.0,0.0,20.970812182741117,0.812017692401719
rolling,rf_sensor,"1,2,3,4,5",6,3633,2300,0.6634782608695652,0.5832962105304771,0.9181818181818182,0.9655172413793104,0.8828382838283828,0.8327526132404182,0.7470817120622568,0.0,21.19613043478261,0.8181178365219968
rolling,rf_sensor,"1,2,3,4,5,6",7,5933,3613,0.7514530860780515,0.7155998170345627,0.7361111111111112,0.15591397849462366,0.9873015873015873,0.9984894259818731,1.0,0.7077464788732394,36.987922778854134,0.5868605990115145
rolling,rf_sensor,"1,2,3,4,5,6,7",8,9546,294,0.8979591836734694,0.7970338997967398,0.775,1.0,0.986013986013986,0.8666666666666667,1.0,0.16666666666666666,30.199834183673474,0.419678703711972
rolling,rf_sensor,"1,2,3,4,5,6,7,8",9,9840,470,0.823404255319149,0.8197149083464822,1.0,0.9466666666666667,0.9871794871794872,1.0,0.9836065573770492,0.2376237623762376,26.21685904255319,0.4949744134378288
rolling,rf_sensor,"1,2,3,4,5,6,7,8,9",10,10310,3600,0.6102777777777778,0.6083965939173321,0.5733333333333334,0.7583333333333333,0.7833333333333333,0.59,0.36666666666666664,0.59,121.48195937499999,0.3657312935381547
