,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,100,0,0,0,0,0
Ethylene,0,71,4,0,0,0
Ammonia,0,1,77,0,0,0
Acetaldehyde,0,0,0,55,0,0
Acetone,0,0,0,0,60,1
Toluene,35,35,0,0,7,24
