model_label,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,low_ppm_accuracy_mean,low_ppm_accuracy_std,recall_Ethylene_mean,recall_Ethylene_std,recall_Acetone_mean,recall_Acetone_std,recall_Toluene_mean,recall_Toluene_std
DANN (lambda=0.05),0.8016107716687134,0.10410728219903535,0.7325074087430016,0.09615640357146939,0.6421159028931278,0.2770572552747411,0.6770389194454581,0.312548207058373,0.8722026916643632,0.2033001394533903,0.28414238145184856,0.3643775359121351
MMD (lambda=0.5),0.8138984116558189,0.09572362875744923,0.7502152438725774,0.08609281237975658,0.6859523289709515,0.26858815579607137,0.7323080171965406,0.2767189507269527,0.8766915537291441,0.18409688155488113,0.30745355828766674,0.37271830700810377
Plain DNN,0.8171350441675058,0.10150493745480238,0.7467383786330691,0.08145905764459169,0.7255485529530724,0.2479898556568399,0.7005763271834269,0.30386273159082916,0.8874738666543142,0.19914955010355762,0.30654980667312043,0.3708982538164959
