model,domain_lambda,test_batch,seed,accuracy,macro_f1,low_ppm_accuracy,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,model_label,mmd_lambda,n_train,n_test,low_ppm_n
dnn_baseline,0.0,7,37,0.7486853030722391,0.7114283512489842,0.5846501128668171,0.9444444444444444,0.19623655913978494,0.9984126984126984,0.9984894259818731,1.0,0.49295774647887325,Plain DNN,,,,
dann,0.05,7,37,0.7193468032106283,0.6766547181757329,0.5395033860045146,0.9055555555555556,0.20295698924731181,0.9984126984126984,0.9984894259818731,1.0,0.3221830985915493,DANN (lambda=0.05),,,,
dnn_baseline,0.0,8,37,0.9149659863945578,0.891374981463194,0.9328358208955224,0.675,0.9696969696969697,0.986013986013986,0.8333333333333334,1.0,0.7777777777777778,Plain DNN,,,,
dann,0.05,8,37,0.9047619047619048,0.8683632369836086,0.8955223880597015,0.675,1.0,0.993006993006993,0.7333333333333333,1.0,0.6666666666666666,DANN (lambda=0.05),,,,
dnn_baseline,0.0,9,37,0.776595744680851,0.7655126304450292,0.5529953917050692,1.0,0.9866666666666667,0.9102564102564102,1.0,1.0,0.039603960396039604,Plain DNN,,,,
dann,0.05,9,37,0.7723404255319148,0.7539514286089964,0.5345622119815668,1.0,1.0,0.9230769230769231,1.0,1.0,0.0,DANN (lambda=0.05),,,,
dnn_baseline,0.0,10,37,0.6886111111111111,0.6959646325062098,0.6445454545454545,0.84,0.4166666666666667,0.7316666666666667,0.8616666666666667,0.5183333333333333,0.7633333333333333,Plain DNN,,,,
dann,0.05,10,37,0.6572222222222223,0.6621025271978273,0.5790909090909091,0.7633333333333333,0.37833333333333335,0.7266666666666667,0.8716666666666667,0.4083333333333333,0.795,DANN (lambda=0.05),,,,
dnn_mmd,,4,11,0.7701863354037267,0.6438709348903523,0.0,1.0,0.6,1.0,1.0,0.609375,0.0,MMD (lambda=0.5),0.5,3275.0,161.0,5.0
dnn_mmd,,5,11,0.9746192893401016,0.8091362509243295,1.0,0.9,0.9782608695652174,1.0,1.0,0.9285714285714286,0.0,MMD (lambda=0.5),0.5,3436.0,197.0,20.0
dnn_mmd,,6,11,0.7513043478260869,0.6708291114091184,0.6934058463630184,0.9181818181818182,0.9310344827586208,0.9636963696369636,0.911149825783972,0.9552529182879378,0.0042826552462526,MMD (lambda=0.5),0.5,3633.0,2300.0,1471.0
dnn_mmd,,7,11,0.7619706615001384,0.7502003507267928,0.5349887133182845,0.925,0.3104838709677419,0.9984126984126984,0.9984894259818732,1.0,0.4401408450704225,MMD (lambda=0.5),0.5,5933.0,3613.0,886.0
dnn_mmd,,8,11,0.9251700680272108,0.912347989379374,0.9552238805970148,0.675,0.9393939393939394,0.993006993006993,0.8666666666666667,1.0,0.8888888888888888,MMD (lambda=0.5),0.5,9546.0,294.0,134.0
dnn_mmd,,9,11,0.774468085106383,0.7542939418977331,0.5391705069124424,1.0,0.9733333333333334,0.9487179487179488,1.0,1.0,0.0099009900990099,MMD (lambda=0.5),0.5,9840.0,470.0,217.0
dnn_mmd,,10,11,0.7011111111111111,0.7088697414299342,0.6245454545454545,0.79,0.42,0.8233333333333334,0.865,0.535,0.7733333333333333,MMD (lambda=0.5),0.5,10310.0,3600.0,1100.0
dnn_mmd,,4,23,0.7701863354037267,0.6528142216929599,0.2,1.0,0.6666666666666666,1.0,0.9302325581395348,0.625,0.0,MMD (lambda=0.5),0.5,3275.0,161.0,5.0
dnn_mmd,,5,23,0.9796954314720812,0.8142360464394361,1.0,0.95,0.9565217391304348,0.984126984126984,1.0,1.0,0.0,MMD (lambda=0.5),0.5,3436.0,197.0,20.0
dnn_mmd,,6,23,0.7669565217391304,0.6395562131627234,0.7151597552685248,0.9181818181818182,0.6551724137931034,0.9603960396039604,0.9773519163763066,0.9747081712062255,0.0,MMD (lambda=0.5),0.5,3633.0,2300.0,1471.0
dnn_mmd,,7,23,0.7688901190146693,0.7424757026712335,0.6060948081264108,0.925,0.3051075268817204,0.9984126984126984,0.9984894259818732,1.0,0.4911971830985915,MMD (lambda=0.5),0.5,5933.0,3613.0,886.0
dnn_mmd,,8,23,0.9251700680272108,0.9124082462828452,0.9477611940298508,0.675,0.9696969696969696,0.993006993006993,0.8333333333333334,1.0,0.8888888888888888,MMD (lambda=0.5),0.5,9546.0,294.0,134.0
dnn_mmd,,9,23,0.7702127659574468,0.7508425660057787,0.5345622119815668,1.0,0.9866666666666668,0.9230769230769232,0.9818181818181818,1.0,0.0099009900990099,MMD (lambda=0.5),0.5,9840.0,470.0,217.0
dnn_mmd,,10,23,0.71,0.7133308548789653,0.6563636363636364,0.8666666666666667,0.395,0.775,0.8516666666666667,0.5533333333333333,0.8183333333333334,MMD (lambda=0.5),0.5,10310.0,3600.0,1100.0
dnn_mmd,,4,37,0.8074534161490683,0.6697925757438142,1.0,1.0,0.6666666666666666,1.0,0.9302325581395348,0.71875,0.0,MMD (lambda=0.5),0.5,3275.0,161.0,5.0
dnn_mmd,,5,37,0.9898477157360406,0.8229920146621348,1.0,0.95,0.9782608695652174,1.0,1.0,1.0,0.0,MMD (lambda=0.5),0.5,3436.0,197.0,20.0
dnn_mmd,,6,37,0.7739130434782608,0.6680421777482372,0.7253569000679809,0.9181818181818182,1.0,0.9917491749174916,0.911149825783972,0.9571984435797666,0.0728051391862955,MMD (lambda=0.5),0.5,3633.0,2300.0,1471.0
dnn_mmd,,7,37,0.7666758926100193,0.746996416628705,0.5586907449209932,0.9361111111111112,0.3131720430107527,0.9984126984126984,0.9984894259818732,1.0,0.4595070422535211,MMD (lambda=0.5),0.5,5933.0,3613.0,886.0
dnn_mmd,,8,37,0.9319727891156464,0.9093987903669036,0.9626865671641792,0.675,0.9696969696969696,0.993006993006993,0.9666666666666668,1.0,0.7777777777777778,MMD (lambda=0.5),0.5,9546.0,294.0,134.0
dnn_mmd,,9,37,0.7723404255319148,0.7532175505237825,0.5391705069124424,1.0,0.9866666666666668,0.9230769230769232,1.0,1.0,0.0099009900990099,MMD (lambda=0.5),0.5,9840.0,470.0,217.0
dnn_mmd,,10,37,0.6997222222222222,0.7088684238589735,0.6118181818181818,0.765,0.3766666666666666,0.82,0.8716666666666667,0.5533333333333333,0.8116666666666666,MMD (lambda=0.5),0.5,10310.0,3600.0,1100.0
