seed,DANN (lambda=0.05),MMD (lambda=0.5),Plain DNN,dann_minus_dnn,dann_minus_mmd
11,0.6911111111111111,0.7011111111111111,0.6675,0.023611111111111138,-0.010000000000000009
23,0.725,0.71,0.6938888888888889,0.03111111111111109,0.015000000000000013
37,0.6572222222222223,0.6997222222222222,0.6886111111111111,-0.0313888888888888,-0.04249999999999998
