model_label,test_batch,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,low_ppm_accuracy_mean,low_ppm_accuracy_std,recall_Ethylene_mean,recall_Ethylene_std,recall_Acetone_mean,recall_Acetone_std,recall_Toluene_mean,recall_Toluene_std
DANN (lambda=0.05),4,0.7267080745341614,0.04072943182796276,0.608452916450747,0.022980331735216682,0.13333333333333333,0.11547005383792516,0.43333333333333335,0.0,0.6197916666666666,0.08018127249135756,0.0,0.0
DANN (lambda=0.05),5,0.9830795262267343,0.005861424052686526,0.817154702513669,0.005055260610390853,1.0,0.0,0.9637681159420289,0.012551092808470101,1.0,0.0,0.0,0.0
DANN (lambda=0.05),6,0.7714492753623189,0.002144731679267887,0.6447963284442748,0.006174403231276494,0.7230908678903241,0.0037440996242597397,0.7701149425287356,0.1700994090453878,0.9649805447470817,0.014029382394801466,0.0014275517487508922,0.001236296079635173
DANN (lambda=0.05),7,0.7445336285635206,0.022538320605077336,0.7138562990772935,0.03415888218649905,0.5500376222723853,0.03289314220375383,0.26836917562724016,0.07278363357814842,1.0,0.0,0.38497652582159625,0.0672787112080469
DANN (lambda=0.05),8,0.9206349206349206,0.015337584193275184,0.8955892832255344,0.030497284213490388,0.9353233830845772,0.03756136534960576,0.9797979797979798,0.017495462702715934,1.0,0.0,0.7592592592592592,0.11564811108145186
DANN (lambda=0.05),9,0.7737588652482269,0.0012284048280630513,0.754872760735915,0.0011139138124597599,0.533026113671275,0.002660600318846182,0.9911111111111112,0.015396007178389983,0.9945355191256832,0.00946475851130535,0.0,0.0
DANN (lambda=0.05),10,0.6911111111111111,0.03388888888888886,0.6928295707535775,0.02952263222197543,0.62,0.035431227763463746,0.3327777777777778,0.052739752383581404,0.5261111111111111,0.1500123451710015,0.8433333333333334,0.060850454211762224
MMD (lambda=0.5),4,0.7826086956521738,0.021516159100234463,0.6554925774423754,0.013166740609364482,0.39999999999999997,0.5291502622129182,0.6444444444444444,0.03849001794597505,0.6510416666666666,0.059155295268752864,0.0,0.0
MMD (lambda=0.5),5,0.9813874788494078,0.00775393518605045,0.8154547706753,0.007007818045710211,1.0,0.0,0.9710144927536232,0.012551092808470117,0.9761904761904763,0.04123930494211611,0.0,0.0
MMD (lambda=0.5),6,0.7640579710144927,0.011579701075616363,0.659475834106693,0.017307085939611912,0.711307500566508,0.01632015189669688,0.8620689655172414,0.18246560765962697,0.9623865110246433,0.010715117796276366,0.025695931477516032,0.04085392725554373
MMD (lambda=0.5),7,0.7658455577082757,0.0035336687890406655,0.7465574900089105,0.0038809843247219027,0.5665914221218962,0.0362054513145495,0.30958781362007165,0.004106250622720307,1.0,0.0,0.4636150234741783,0.02577487236619453
MMD (lambda=0.5),8,0.927437641723356,0.003927552851630256,0.9113850086763743,0.0017203793486499975,0.955223880597015,0.007462686567164173,0.9595959595959597,0.01749546270271582,1.0,0.0,0.8518518518518517,0.0641500299099584
MMD (lambda=0.5),9,0.7723404255319148,0.0021276595744680604,0.7527846861424314,0.0017659353233833233,0.5376344086021505,0.0026606003188461903,0.9822222222222224,0.00769800358919506,1.0,0.0,0.0099009900990099,0.0
MMD (lambda=0.5),10,0.7036111111111111,0.005576349972190173,0.7103563400559576,0.002576005484896611,0.6309090909090909,0.02294441720749812,0.3972222222222222,0.02175196883383545,0.5472222222222222,0.01058475493514312,0.8011111111111111,0.024286103327104864
Plain DNN,4,0.8426501035196687,0.07766045272675383,0.6890015107912394,0.05038963658585385,0.6666666666666666,0.5773502691896258,0.6333333333333333,0.033333333333333326,0.7760416666666666,0.18310828990882239,0.0,0.0
Plain DNN,5,0.9830795262267343,0.0029307120263432226,0.8167578343292985,0.0023317376337279186,1.0,0.0,0.9710144927536232,0.012551092808470117,1.0,0.0,0.0,0.0
Plain DNN,6,0.7684057971014493,0.014084093464645092,0.6631574851438601,0.01929166282811596,0.719465216406073,0.022774468904150875,0.7701149425287356,0.14356317237697472,0.9623865110246433,0.011062725103263242,0.0021413276231263384,0.002141327623126338
Plain DNN,7,0.7540363502168096,0.014332021204267097,0.7207664134031727,0.02273414247146831,0.5854025583145223,0.012432439158659386,0.20654121863799282,0.021435257551802294,1.0,0.0,0.5164319248826291,0.0632170563826067
Plain DNN,8,0.9160997732426304,0.001963776425815056,0.895410760577644,0.004778032469109885,0.937810945273632,0.00861716819686008,0.9696969696969697,0.0,1.0,0.0,0.7962962962962963,0.03207501495497922
Plain DNN,9,0.7723404255319148,0.004255319148936135,0.7555254236247134,0.009156364175538922,0.5407066052227343,0.010642401275384825,0.9911111111111112,0.007698003589194988,1.0,0.0,0.013201320132013201,0.022865357195628745
Plain DNN,10,0.6833333333333332,0.013963687475063082,0.686549222561556,0.01629558836547473,0.6287878787878788,0.014696188670281394,0.3622222222222222,0.0640384722329158,0.47388888888888886,0.05795911713664434,0.8177777777777777,0.04715027198381942
