,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,12,0,0,0,0,0
Ethylene,0,19,10,1,0,0
Ammonia,0,0,12,0,0,0
Acetaldehyde,0,0,0,43,0,0
Acetone,0,1,29,0,34,0
Toluene,0,0,0,0,0,0
