"experiment","model","train_batches","test_batch","n_train","n_test","accuracy","macro_f1","recall_Ethanol","recall_Ethylene","recall_Ammonia","recall_Acetaldehyde","recall_Acetone","recall_Toluene","concentration_mae","concentration_r2"
"rolling","dnn_sensor","1,2,3","4","3275","161","0.84472049689441","0.6924608070995006","1.0","0.6666666666666666","1.0","1.0","0.765625","0.0","32.073850931677015","0.6770509844592452"
"rolling","dnn_sensor","1,2,3,4","5","3436","197","0.9847715736040609","0.8188356981460431","0.95","0.9782608695652174","0.9841269841269841","1.0","1.0","0.0","20.970812182741117","0.812017692401719"
"rolling","dnn_sensor","1,2,3,4,5","6","3633","2300","0.7504347826086957","0.6384256696832135","0.9181818181818182","0.8275862068965517","0.9570957095709571","0.9111498257839721","0.9455252918287937","0.02569593147751606","21.19613043478261","0.8181178365219968"
"rolling","dnn_sensor","1,2,3,4,5,6","7","5933","3613","0.7616938831995571","0.7385932834824053","0.9527777777777777","0.34946236559139787","0.9984126984126984","0.9984894259818731","1.0","0.36971830985915494","36.987922778854134","0.5868605990115145"
"rolling","dnn_sensor","1,2,3,4,5,6,7","8","9546","294","0.9217687074829932","0.9015360793951898","0.675","0.9696969696969697","0.986013986013986","0.9","1.0","0.7777777777777778","30.199834183673474","0.419678703711972"
"rolling","dnn_sensor","1,2,3,4,5,6,7,8","9","9840","470","0.7680851063829788","0.753617907414545","1.0","0.96","0.9230769230769231","1.0","1.0","0.009900990099009901","26.21685904255319","0.4949744134378288"
"rolling","dnn_sensor","1,2,3,4,5,6,7,8,9","10","10310","3600","0.6952777777777778","0.6982457615603708","0.9183333333333333","0.395","0.76","0.8516666666666667","0.45666666666666667","0.79","121.48195937499999","0.3657312935381547"
