regression_weight,accuracy,macro_f1,mae,r2,low_ppm_mae,rank_accuracy,rank_macro_f1,rank_mae,rank_low_ppm_mae,mean_rank
0.6,0.8348151468910789,0.7421436449674838,24.732247482737243,0.7539229463852195,35.944273898498494,1.0,1.0,1.0,3.0,1.5
0.35,0.824165888687214,0.7363861497521198,25.352674050149027,0.7582603269098795,28.45690058794529,2.0,2.0,2.0,1.0,1.75
0.15,0.8187327295007243,0.7230823344792524,25.70215459604725,0.7378914853734756,29.144976881359973,3.0,3.0,3.0,2.0,2.75
