evaluation_phase,model,mae,r2,low_ppm_mae
全部（Batch 4-10）,dnn_reg_history_baseline,34.69946953186415,0.5725514030907158,36.9915526283882
全部（Batch 4-10）,dnn_reg_lowppm_weighted,37.947396268585486,0.6821006711810206,33.57328563227806
全部（Batch 4-10）,dnn_reg_sensor,39.22810778330213,0.5591515744639005,29.205885246825765
全部（Batch 4-10）,dnn_reg_time,39.588299204433405,0.5524037576023856,33.67829653294279
全部（Batch 4-10）,dnn_two_stage_history_w3,50.75710459818406,-0.19364959639305365,53.30487161174834
全部（Batch 4-10）,dnn_reg_history_residual,50.921887170439945,0.08273428100557326,46.05699753403714
开发阶段（Batch 4-8）,dnn_reg_lowppm_weighted,27.916156482933207,0.6723232568565279,40.44608897111439
开发阶段（Batch 4-8）,dnn_reg_history_baseline,31.58852289839526,0.4923055773023178,41.21678375733745
开发阶段（Batch 4-8）,dnn_reg_sensor,32.1901950918679,0.4893376712738169,32.273332426145735
开发阶段（Batch 4-8）,dnn_reg_time,36.502862372221095,0.4572172520434842,40.33693001152805
开发阶段（Batch 4-8）,dnn_two_stage_history_w3,50.30485151864376,-0.5121066688609985,61.168579886446835
开发阶段（Batch 4-8）,dnn_reg_history_residual,53.27396907894924,-0.2006737566857378,56.056821915390834
留出确认（Batch 9-10）,dnn_reg_history_baseline,42.47683611553638,0.7731659675617112,26.428474806015053
留出确认（Batch 9-10）,dnn_reg_history_residual,45.041682399166675,0.791254375233851,21.057436580652897
留出确认（Batch 9-10）,dnn_reg_time,47.30189128496418,0.790370021499639,17.031712836479638
留出确认（Batch 9-10）,dnn_two_stage_history_w3,51.8877372970348,0.6024930847768084,33.645600925002114
留出确认（Batch 9-10）,dnn_reg_sensor,56.82288951188771,0.7336863324391095,21.537267298525823
留出确认（Batch 9-10）,dnn_reg_lowppm_weighted,63.025495732716195,0.7065442069922524,16.391277285187225
