model,regression_weight,test_batch,n_train,n_test,accuracy,macro_f1,mae,r2,low_ppm_n,low_ppm_mae,mae_Ethanol,mae_Ethylene,mae_Ammonia,mae_Acetaldehyde,mae_Acetone,mae_Toluene
multitask_dnn_history_w3,0.6,9,9840,470,0.7680851063829788,0.750398882779087,20.643199352507896,0.6699538765159108,217,25.633780554142966,4.224854354858398,29.885534261067708,18.921446286714993,10.854309914328836,5.780009785636526,45.67289839640702
multitask_dnn_history_w3,0.6,10,10310,3600,0.6919444444444445,0.68930306455487,65.44370987044441,0.8427033769858251,1100,14.83038680336692,111.3851159922282,77.0372802289327,95.71358520507812,44.73437962849935,37.3560288365682,26.435869331359864
