model,regression_weight,test_batch,n_train,n_test,accuracy,macro_f1,mae,r2,low_ppm_n,low_ppm_mae,mae_Ethanol,mae_Ethylene,mae_Ammonia,mae_Acetaldehyde,mae_Acetone,mae_Toluene
fusion_history_multitask,0.6,9,9840,470,0.7659574468085106,0.7528100812054839,15.81241429105718,0.7979995328260049,217,8.643112006824687,11.982124938964844,16.596932779947917,39.914063575940254,3.1634546453302557,9.042719856637422,11.385736522108022
fusion_history_multitask,0.6,10,10310,3600,0.6761111111111111,0.6779082137243045,54.141591794755726,0.8797962539777525,1100,13.147375786521218,82.18102686564127,68.27882008870442,79.49959138234456,50.645025151570636,24.057885932922364,20.187201347351074
