experiment,model,train_batches,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,concentration_mae,concentration_r2
fixed_1to3,rf_sensor,"1,2,3",4,3275,161,0.8198757763975155,0.6722623954145693,0.8333333333333334,0.26666666666666666,1.0,1.0,0.921875,0.0,32.073850931677015,0.6770509844592452
fixed_1to3,rf_sensor,"1,2,3",5,3275,197,0.751269035532995,0.5902760942760943,0.8,0.06521739130434782,0.9682539682539683,1.0,1.0,0.0,34.157614213197974,0.5502991182046792
fixed_1to3,rf_sensor,"1,2,3",6,3275,2300,0.7143478260869566,0.6106848582100683,0.9,0.9310344827586207,0.8894389438943895,0.8327526132404182,0.9727626459143969,0.0,19.624147826086954,0.8381343812240044
fixed_1to3,rf_sensor,"1,2,3",7,3275,3613,0.569056185995018,0.5194031773887525,0.8583333333333333,0.3844086021505376,0.5428571428571428,0.8172205438066465,0.8906009244992296,0.0,35.8325525878771,0.6548110504103926
fixed_1to3,rf_sensor,"1,2,3",8,3275,294,0.19727891156462585,0.18643555832209158,0.925,0.09090909090909091,0.04195804195804196,0.4,0.0,0.0,26.274914965986394,0.5129601727634874
fixed_1to3,rf_sensor,"1,2,3",9,3275,470,0.5468085106382978,0.4883516714600276,1.0,0.0,0.6538461538461539,0.8181818181818182,1.0,0.0,35.93456914893616,0.26207095915387024
fixed_1to3,rf_sensor,"1,2,3",10,3275,3600,0.37194444444444447,0.3486362150667273,0.40166666666666667,0.145,0.6016666666666667,0.425,0.6583333333333333,0.0,129.16730972222223,0.34502913505265387
