,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,100,0,0,0,0,0
Ethylene,25,0,0,0,50,0
Ammonia,18,3,51,0,6,0
Acetaldehyde,9,0,0,45,1,0
Acetone,0,0,0,0,61,0
Toluene,95,1,0,0,5,0
