,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,241,0,0,258,101,0
Ethylene,12,87,0,0,501,0
Ammonia,0,9,361,30,200,0
Acetaldehyde,157,39,34,255,115,0
Acetone,0,108,97,0,395,0
Toluene,0,6,28,0,566,0
