,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,16,3,1,0,0,0
Ethylene,0,3,0,0,43,0
Ammonia,0,2,61,0,0,0
Acetaldehyde,0,0,0,40,0,0
Acetone,0,0,0,0,28,0
Toluene,0,0,0,0,0,0
