,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,309,0,0,14,37,0
Ethylene,266,286,0,0,192,0
Ammonia,113,124,342,25,26,0
Acetaldehyde,66,0,0,541,55,0
Acetone,70,0,0,1,578,0
Toluene,138,139,0,0,291,0
