test_batch,n_history,n_current,standardized_center_distance,pca_center_distance,mean_ks_statistic,max_ks_statistic,mean_abs_standardized_shift,features_ks_ge_020,class_conditional_center_distance,class_conditional_mean_ks,class_conditional_gas_n,accuracy,macro_f1,mae,r2,boundary_error_rate
4,3275,161,11.498654711074503,6.2046821727110535,0.28773854961832057,0.5582267317813285,0.588674413586251,79,15.470821495554768,0.4969505134315824,5,0.7515527950310559,0.6448129251700679,66.82724066055991,-0.571358994507082,0.3389830508474576
5,3436,197,4.251183695049403,3.824211162685672,0.35003349869698563,0.6130195068046305,0.3046089641421389,120,10.003673257502266,0.5464030000695761,5,0.9898477157360406,0.8229920146621348,23.05121074509505,0.8428317612641575,0.0
6,3633,2300,5.075996719575148,4.5595962435533774,0.29216103479278116,0.7341934441532331,0.37574619713068624,94,11.568559693430482,0.526941322216827,6,0.7547826086956522,0.648893048091125,20.29146208658317,0.8386512245732032,0.4714160070360598
7,5933,3613,3.406449734240841,3.05894952761543,0.18414733411775622,0.45068986746503953,0.25297969920644625,38,6.878018207694542,0.3550367874696563,6,0.7735953501245503,0.7500119143713556,25.121972238217616,0.7578754051164032,0.4260289210233593
8,9546,294,7.248561917233148,7.145808164489302,0.4545909314778709,0.7751724196906921,0.5879179931584629,124,9.517317390305928,0.6271296264812433,6,0.935374149659864,0.9307252476654008,22.650728761520583,0.5935284900649068,0.1098901098901099
9,9840,470,7.674760642807044,7.547291127941545,0.4711568777298478,0.6793353226085452,0.6215113200188938,126,9.949491003720363,0.6625291385105115,6,0.7680851063829788,0.7451641356956603,22.30751565271938,0.7049231394492859,0.3558718861209964
10,10310,3600,3.8879875428657593,1.9227846956751038,0.18363306508648564,0.33364317275568484,0.25985320220662084,57,15.406354060378405,0.39786457343930853,6,0.7005555555555556,0.7026802555984512,62.64615657835338,0.8414087956741365,0.2995971802618328
