experiment,model,train_batches,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,concentration_mae,concentration_r2
rolling,dnn_sensor_history_baseline,"1,2,3,4,5,6",7,5933,3613,0.7735953501245503,0.7500119143713556,0.8972222222222223,0.2782258064516129,0.9984126984126984,0.9984894259818731,1.0,0.573943661971831,36.987922778854134,0.5868605990115145
rolling,dnn_sensor_history_baseline,"1,2,3,4,5,6,7",8,9546,294,0.935374149659864,0.9307252476654008,0.675,1.0,0.972027972027972,0.9666666666666667,1.0,0.9444444444444444,30.199834183673474,0.419678703711972
