,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,27,0,12,0,0,1
Ethylene,0,33,0,0,0,0
Ammonia,1,1,139,0,1,1
Acetaldehyde,1,0,0,29,0,0
Acetone,0,0,0,0,30,0
Toluene,0,1,0,0,0,17
