experiment,model,train_batches,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,low_ppm_n,low_ppm_accuracy,concentration_mae,concentration_r2
rolling,dnn_sensor_weighted,"1,2,3,4",5,3436,197,0.9898477157360406,0.8229920146621348,0.95,0.9782608695652174,1.0,1.0,1.0,0.0,20,1.0,20.970812182741117,0.812017692401719
rolling,dnn_sensor_weighted,"1,2,3,4,5",6,3633,2300,0.7495652173913043,0.6272872383468581,0.9181818181818182,0.7586206896551724,0.9686468646864687,0.9111498257839721,0.953307392996109,0.0021413276231263384,1471,0.6927260367097213,21.19613043478261,0.8181178365219968
