,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,101,0,9,0,0,0
Ethylene,0,22,0,6,1,0
Ammonia,0,0,587,0,19,0
Acetaldehyde,0,0,0,523,51,0
Acetone,0,9,0,15,490,0
Toluene,0,213,195,0,58,1
