model,test_batch,classification_accuracy,mae,r2,low_ppm_n,low_ppm_mae,mae_Ethanol,mae_Ethylene,mae_Ammonia,mae_Acetaldehyde,mae_Acetone,mae_Toluene
dnn_two_stage_history_w3,4,0.7515527950310559,88.42181823182096,-3.1744304353710886,5,129.48962977960258,53.546886878812096,73.63118163548873,22.49741593967821,12.61057251147722,165.19048491317358,
dnn_two_stage_history_w3,5,0.9898477157360406,26.43952660052502,0.7406898054197195,20,10.53530833510807,25.54697020331327,9.747396182089886,40.06598232377378,30.858842307394287,17.527019041696764,
dnn_two_stage_history_w3,6,0.7547826086956522,59.30791928286392,-0.6917127025857164,1471,66.4102467379185,47.48854939502524,11.388080649984172,32.00346192420648,54.545440503076215,122.38623491267562,36.926154300502255
dnn_two_stage_history_w3,7,0.7735953501245503,44.32025272842034,0.398523254246286,886,50.696662959998,108.33478166039036,57.82178215685144,32.51082685341647,30.02899638785009,23.85436271748416,39.20184481564856
dnn_two_stage_history_w3,8,0.935374149659864,33.03474074958855,0.1663967339858069,134,48.71105161960699,43.30234182339153,17.75979340613236,32.651449057007824,62.252248442166675,10.471553784471485,30.17642461609662
dnn_two_stage_history_w3,9,0.7680851063829788,31.9193168846678,0.3430876134075004,217,39.23732841352901,30.696507218132993,16.782028050613427,27.683023646779045,9.114848948785628,26.67189836809853,63.229680921768065
dnn_two_stage_history_w3,10,0.7005555555555556,71.8561577094018,0.8618985561461164,1100,28.053873436475214,119.56224496729342,73.5161637599008,87.67340756320218,57.141798553963305,60.83711616078273,32.40621525126839
