experiment,model,train_batches,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,low_ppm_n,low_ppm_accuracy,concentration_mae,concentration_r2
rolling,dnn_sensor_history_robust,"1,2,3,4",5,3436,197,0.9898477157360406,0.8229920146621348,0.95,0.9782608695652174,1.0,1.0,1.0,0.0,20,1.0,20.970812182741117,0.812017692401719
rolling,dnn_sensor_history_robust,"1,2,3,4,5",6,3633,2300,0.75,0.7183379989981407,0.9181818181818182,0.7586206896551724,1.0,0.9094076655052264,0.8813229571984436,0.044967880085653104,1471,0.7151597552685248,21.19613043478261,0.8181178365219968
