,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,101,0,9,0,0,0
Ethylene,0,22,7,0,0,0
Ammonia,0,0,606,0,0,0
Acetaldehyde,0,0,51,522,1,0
Acetone,0,6,24,0,453,31
Toluene,0,7,439,0,0,21
