,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,324,0,2,34,0,0
Ethylene,155,316,49,137,87,0
Ammonia,0,1,628,1,0,0
Acetaldehyde,0,0,0,662,0,0
Acetone,0,0,0,0,649,0
Toluene,6,15,124,6,44,373
