,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,487,28,32,52,1,0
Ethylene,0,237,0,0,50,313
Ammonia,0,4,542,0,0,54
Acetaldehyde,7,5,115,473,0,0
Acetone,0,202,48,0,303,47
Toluene,0,120,0,0,0,480
